2024-01-17 16:28:28,053 INFO    StreamThr :3648930 [internal.py:wandb_internal():86] W&B internal server running at pid: 3648930, started at: 2024-01-17 16:28:28.053274
2024-01-17 16:28:28,055 DEBUG   HandlerThread:3648930 [handler.py:handle_request():146] handle_request: status
2024-01-17 16:28:28,055 INFO    WriterThread:3648930 [datastore.py:open_for_write():87] open: /home/pupil/rmf3mc/Documents/ModelProposing/MGANet/FinalTouches/wandb/run-20240117_162828-o3m3urui/run-o3m3urui.wandb
2024-01-17 16:28:28,055 DEBUG   SenderThread:3648930 [sender.py:send():382] send: header
2024-01-17 16:28:28,058 DEBUG   SenderThread:3648930 [sender.py:send():382] send: run
2024-01-17 16:28:28,409 INFO    SenderThread:3648930 [dir_watcher.py:__init__():211] watching files in: /home/pupil/rmf3mc/Documents/ModelProposing/MGANet/FinalTouches/wandb/run-20240117_162828-o3m3urui/files
2024-01-17 16:28:28,409 INFO    SenderThread:3648930 [sender.py:_start_run_threads():1136] run started: o3m3urui with start time 1705530508.053048
2024-01-17 16:28:28,414 DEBUG   HandlerThread:3648930 [handler.py:handle_request():146] handle_request: check_version
2024-01-17 16:28:28,415 DEBUG   SenderThread:3648930 [sender.py:send_request():409] send_request: check_version
2024-01-17 16:28:28,491 DEBUG   HandlerThread:3648930 [handler.py:handle_request():146] handle_request: run_start
2024-01-17 16:28:28,495 DEBUG   HandlerThread:3648930 [system_info.py:__init__():27] System info init
2024-01-17 16:28:28,495 DEBUG   HandlerThread:3648930 [system_info.py:__init__():42] System info init done
2024-01-17 16:28:28,495 INFO    HandlerThread:3648930 [system_monitor.py:start():194] Starting system monitor
2024-01-17 16:28:28,495 INFO    SystemMonitor:3648930 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-01-17 16:28:28,495 INFO    HandlerThread:3648930 [system_monitor.py:probe():214] Collecting system info
2024-01-17 16:28:28,496 INFO    SystemMonitor:3648930 [interfaces.py:start():190] Started cpu monitoring
2024-01-17 16:28:28,496 INFO    SystemMonitor:3648930 [interfaces.py:start():190] Started disk monitoring
2024-01-17 16:28:28,497 INFO    SystemMonitor:3648930 [interfaces.py:start():190] Started gpu monitoring
2024-01-17 16:28:28,497 INFO    SystemMonitor:3648930 [interfaces.py:start():190] Started memory monitoring
2024-01-17 16:28:28,497 INFO    SystemMonitor:3648930 [interfaces.py:start():190] Started network monitoring
2024-01-17 16:28:28,537 DEBUG   HandlerThread:3648930 [system_info.py:probe():151] Probing system
2024-01-17 16:28:28,538 DEBUG   HandlerThread:3648930 [system_info.py:_probe_git():136] Probing git
2024-01-17 16:28:28,540 DEBUG   HandlerThread:3648930 [system_info.py:_probe_git():144] Probing git done
2024-01-17 16:28:28,540 DEBUG   HandlerThread:3648930 [system_info.py:probe():199] Probing system done
